"","Regime","Meeting_Date","Repo_Rate","Rate_change","MP_Surprise"
"1","MPCS",2016-10-04,6.25,-0.25,-0.12
"2","MPCS",2016-12-07,6.25,0,0.26
"3","MPCS",2017-02-08,6.25,0,0.13
"4","MPCS",2017-04-06,6.25,0,0.0200000000000005
"5","MPCS",2017-06-07,6.25,0,0.0199999999999996
"6","MPCS",2017-08-02,6,-0.25,-0.0600000000000005
"7","MPCS",2017-10-04,6,0,0.0299999999999994
"8","MPCS",2017-12-06,6,0,-0.00999999999999979
"9","MPCS",2018-02-07,6,0,-0.0300000000000002
"10","MPCS",2018-04-05,6,0,-0.0150000000000006
"11","MPCS",2018-06-06,6.25,0.25,0.0449999999999999
"12","MPCS",2018-08-01,6.5,0.25,0.0899999999999999
"13","MPCS",2018-10-05,6.5,0,-0.285
"14","MPCS",2018-12-05,6.5,0,0
"15","MPCS",2019-02-07,6.25,-0.25,-0.15
"16","MPCS",2019-04-04,6,-0.25,0.0199999999999996
"17","MPCS",2019-06-06,5.75,-0.25,-0.0200000000000005
"18","MPCS",2019-08-07,5.4,-0.35,-0.04
"19","MPCS",2019-10-04,5.15,-0.25,0.0200000000000005
"20","MPCS",2019-12-05,5.15,0,0.23
"21","MPCS",2020-02-06,5.15,0,0
"22","MPCS",2020-03-27,4.4,-0.75,-0.42
"23","MPCS",2020-05-22,4,-0.4,-0.15
"24","Please cite: Mathur, A., and Sengupta, R. (2019). Analysing monetary policy statements of the Reserve Bank of India, IHEID Working Papers 08-2019, May, 2019.",NA,NA,NA,NA
